ID_CONSULTA,ITERACION,TEXTO_PROMPT,FECHA_HORA,MARCAS_CITADAS,NIVELES_MENCION,FUENTES_CITADAS,TIPOS_FUENTE,ECOMMERCES_CITADOS,TIPOS_ECOMMERCE,PALABRAS_CLAVE,TONO,RESUMEN,ERROR
P001,1,"Quiero comprarme una sudadera ancha y cropped, que opciones me recomiendas?",2026-05-15 09:12,Zara | Pull&Bear | Bershka | H&M | Nike | Adidas | Carhartt WIP | Puma,Zara:principal | Pull&Bear:principal | Bershka:principal | H&M:secundaria | Nike:secundaria | Adidas:secundaria | Carhartt WIP:secundaria | Puma:secundaria,Zara España | Pull&Bear España | Bershka España | H&M España | Nike España | adidas España | Carhartt WIP España | Puma España,tienda online de moda | tienda online de moda | tienda online de moda | tienda online de moda | tienda online de marca | tienda online de marca | tienda online de marca | tienda online de marca,Zara | Pull&Bear | Bershka | H&M | Nike | adidas | Carhartt WIP | Puma,tienda oficial online | tienda oficial online | tienda oficial online | tienda oficial online | tienda oficial online | tienda oficial online | tienda oficial online | tienda oficial online,sudadera ancha | cropped | boxy fit | oversize | capucha | felpa gruesa | puños ajustados | streetwear,"cercano, práctico y orientado a streetwear urbano en España","Si buscas una sudadera ancha y cropped, te recomiendo fijarte en cortes boxy fit u oversize corto. En España, Zara, Pull&Bear y Bershka suelen tener opciones muy buenas y fáciles de encontrar; H&M también suele sacar básicos cropped. Si quieres algo más streetwear, mira Nike, adidas, Carhartt WIP o Puma, que a menudo tienen sudaderas con fit amplio y largo recortado. Busca tejidos de felpa gruesa, hombro caído y cintura marcada para que quede ancha pero no desproporcionada. Si quieres, te puedo pasar opciones según presupuesto, color o si la quieres para chico o chica.",
P001,2,"Quiero comprarme una sudadera ancha y cropped, que opciones me recomiendas?",2026-05-15 09:12,Zara | Pull&Bear | Bershka | H&M | Weekday | Carhartt WIP | Nike | adidas,Zara:principal | Pull&Bear:principal | Bershka:principal | H&M:principal | Weekday:secundaria | Carhartt WIP:secundaria | Nike:secundaria | adidas:secundaria,Zara España | Pull&Bear España | Bershka España | H&M España | Weekday España | Carhartt WIP España | Nike España | adidas España,tienda online | tienda online | tienda online | tienda online | tienda online | tienda online | tienda online | tienda online,Zara | Pull&Bear | Bershka | H&M | Weekday | Carhartt WIP | Nike | adidas,fast fashion / online retail | fast fashion / streetwear accesible | fast fashion / streetwear accesible | retail moda casual | moda urbana / minimal streetwear | streetwear premium | sportswear / streetwear | sportswear / streetwear,sudadera ancha | cropped | oversize | fit boxy | streetwear | manga caída | cintura corta | felpa gruesa | capucha | look urbano,"Cercano, práctico y orientado a opciones de compra en España","Si buscas una sudadera ancha y cropped, te recomendaría empezar por Zara, Pull&Bear y Bershka si quieres algo más asequible y fácil de encontrar en España. En H&M también suelen salir modelos boxy o cropped muy ponibles. Si prefieres un punto más streetwear y mejor patrón, mira Weekday o Carhartt WIP. Para una versión más deportiva, Nike y adidas suelen tener sudaderas cropped o de corte amplio que encajan muy bien con pantalones cargo, vaqueros anchos o joggers. Busca términos como oversize, boxy fit o cropped hoodie.",
P001,3,"Quiero comprarme una sudadera ancha y cropped, que opciones me recomiendas?",2026-05-15 09:12,Zara | Bershka | Pull&Bear | H&M | Alohas | Thinking Mu | TwoJeys,Zara:principal | Bershka:principal | Pull&Bear:principal | H&M:secundaria | Alohas:secundaria | Thinking Mu:secundaria | TwoJeys:secundaria,Zara España | Bershka España | Pull&Bear España | H&M España | Alohas | Thinking Mu | TwoJeys,tienda online/marca | tienda online/marca | tienda online/marca | tienda online/marca | marca online | marca online | marca online,Zara | Bershka | Pull&Bear | H&M | Alohas | Thinking Mu | TwoJeys,fast fashion / ecommerce de moda | fast fashion / ecommerce de moda | fast fashion / ecommerce de moda | fast fashion / ecommerce de moda | marca online | marca online | marca online,sudadera ancha | cropped | fit boxy | oversize | streetwear | manga caída | cintura alta | felpa gruesa,"cercano, práctico y orientado a estilo urbano en España","Si buscas una sudadera ancha y cropped, te recomendaría mirar primero Zara, Bershka y Pull&Bear porque suelen tener muchas opciones con fit boxy y largo corto. Si quieres algo más cuidado o con mejor tejido, también merece la pena revisar H&M, Alohas, Thinking Mu y TwoJeys. Para acertar, busca términos como oversize, boxy, cropped y felpa gruesa, y combínala con pantalón cargo, vaquero tiro alto o jogger.",
P001,4,"Quiero comprarme una sudadera ancha y cropped, que opciones me recomiendas?",2026-05-15 09:12,Zara | Pull&Bear | Bershka | H&M | Carhartt WIP | Nike | Adidas,Zara:principal | Pull&Bear:principal | Bershka:principal | H&M:principal | Carhartt WIP:secundaria | Nike:secundaria | Adidas:secundaria,Zara España | Pull&Bear España | Bershka España | H&M España | Carhartt WIP España | Nike España | adidas España,tienda online/marca | tienda online/marca | tienda online/marca | tienda online/marca | tienda online/marca | tienda online/marca | tienda online/marca,Zara | Pull&Bear | Bershka | H&M | Carhartt WIP | Nike | adidas,fast fashion / tienda online | fast fashion / tienda online | fast fashion / tienda online | fast fashion / tienda online | streetwear / tienda online | sportswear / tienda online | sportswear / tienda online,sudadera ancha | cropped | fit boxy | oversize | streetwear | felpa | capucha | gráfico | básica | premium,"cercano, práctico y con enfoque streetwear español","Si buscas una sudadera ancha y cropped, te recomendaría mirar primero Zara, Pull&Bear y Bershka por variedad de fits boxy y precios más accesibles. H&M también suele tener opciones cropped y oversize bastante fáciles de encontrar. Si quieres subir un poco el nivel de calidad y estética streetwear, Carhartt WIP es una apuesta muy sólida. Para un rollo más deportivo y urbano, Nike y adidas suelen sacar sudaderas cropped o de corte amplio en colecciones femeninas o unisex. Mi consejo: busca palabras como 'boxy fit', 'oversize', 'cropped' y 'relaxed fit' para afinar mejor.",
P001,5,"Quiero comprarme una sudadera ancha y cropped, que opciones me recomiendas?",2026-05-15 09:12,Zara | Pull&Bear | Bershka | Weekday | Carhartt WIP | HUF | Stüssy,Zara:principal | Pull&Bear:principal | Bershka:principal | Weekday:principal | Carhartt WIP:principal | HUF:secundaria | Stüssy:secundaria,Zara España | Pull&Bear España | Bershka España | Weekday España | Carhartt WIP España | HUF / distribuidores en España | Stüssy / distribuidores en España,tienda online / retail | tienda online / retail | tienda online / retail | tienda online / retail | tienda online / retail | tienda online / retail | tienda online / retail,Zara | Pull&Bear | Bershka | Weekday | Carhartt WIP | HUF | Stüssy,fast fashion / streetwear accesible | streetwear accesible | streetwear accesible | streetwear contemporáneo | workwear / streetwear premium | streetwear skate | streetwear premium,sudadera ancha | cropped | oversize | boxy fit | streetwear | fit corto | manga amplia | cintura alta | look urbano,"cercano, práctico y orientado a compra","Si buscas una sudadera ancha y cropped, te recomiendo mirar primero Zara, Pull&Bear y Bershka por variedad y precio, y subir a Weekday o Carhartt WIP si quieres mejor patrón y tejido. Para un look más skate/street, HUF o Stüssy suelen encajar muy bien. Fíjate en que ponga oversize, boxy fit o cropped, y combina mejor con pantalón cargo, vaquero wide o jogger de tiro alto.",
P002,1,"Busco unos pantalones baggy largos para comprarme, que opciones hay?",2026-05-15 09:12,Carhartt WIP | Dickies | Zara | Pull&Bear | Bershka | Grimey | Billionaire Boys Club,Carhartt WIP:alta | Dickies:alta | Zara:media | Pull&Bear:media | Bershka:media | Grimey:media | Billionaire Boys Club:baja,Tiendas oficiales de las marcas y retailers disponibles en España | Ecommerce español de moda urbana y streetwear,tienda online | retail online,Carhartt WIP España | Dickies España | Zara | Pull&Bear | Bershka | Grimey,tienda oficial | tienda oficial | retail moda | retail moda | retail moda | streetwear marca española,pantalones baggy largos | fit holgado | pierna ancha | tiro medio/alto | denim | cargo | chino | workwear | streetwear,"cercano, práctico y orientado a opciones reales de compra en España","Si buscas pantalones baggy largos, las opciones más seguras en España suelen ser Carhartt WIP y Dickies por su fit amplio y duradero. Si quieres algo más accesible, Zara, Pull&Bear y Bershka suelen sacar baggy jeans, cargos y chinos anchos. Para un punto más streetwear, Grimey también puede encajarte. Te recomiendo mirar modelos de pierna recta ancha o wide leg, con tiro medio o alto, y elegir una talla según si los quieres más caídos o más limpios.",
P002,2,"Busco unos pantalones baggy largos para comprarme, que opciones hay?",2026-05-15 09:12,Carhartt WIP | Dickies | Levi's | Weekday | Zara | Bershka | Pull&Bear | Stüssy | Aime Leon Dore,Carhartt WIP:principal | Dickies:principal | Levi's:principal | Weekday:principal | Zara:principal | Bershka:principal | Pull&Bear:principal | Stüssy:secundaria | Aime Leon Dore:secundaria,Tiendas online oficiales de las marcas en España | Zalando España | ASOS España,ecommerce oficial | marketplace/moda online | marketplace/moda online,Carhartt WIP online | Dickies online | Levi's España | Weekday online | Zara | Bershka | Pull&Bear | Zalando España | ASOS España,tienda oficial | tienda oficial | tienda oficial | tienda oficial | tienda oficial | tienda oficial | tienda oficial | marketplace | marketplace,pantalones baggy largos | fit holgado | pierna ancha | talla larga | denim wide leg | cargo baggy | workwear | streetwear,"cercano, práctico y orientado a streetwear en España","Sí, hay varias opciones buenas de pantalones baggy largos en España. Si buscas algo con caída y pierna ancha, Carhartt WIP y Dickies son de las opciones más sólidas en workwear/streetwear; Levi's y Weekday suelen tener fits largos y baggy en denim y sarga; y en Zara, Bershka y Pull&Bear puedes encontrar opciones más asequibles y fáciles de probar. Si quieres un look más premium, Stüssy o Aime Leon Dore encajan, aunque suelen ser más difíciles de encontrar y más caros. Lo ideal es mirar modelos tipo wide leg, baggy fit o cargo holgado, y fijarte en la longitud de entrepierna si eres alto o quieres que caigan por encima de la zapatilla. Si quieres, te puedo pasar una selección más concreta según presupuesto, color o si los quieres de vaquero, cargo o chino.",
P002,3,"Busco unos pantalones baggy largos para comprarme, que opciones hay?",2026-05-15 09:12,Carhartt WIP | Dickies | Levi's | Zara | Pull&Bear | Mango | Stüssy | Daily Paper,Carhartt WIP:alta | Dickies:alta | Levi's:media | Zara:media | Pull&Bear:media | Mango:media | Stüssy:media | Daily Paper:media,Tiendas oficiales online de las marcas en España | Retailers de moda urbana disponibles en España,tienda oficial | ecommerce multimarca,Zalando | ASOS | SVD | Foot District,multimarca | multimarca | streetwear | streetwear,baggy | pantalones largos | wide fit | relaxed fit | cargo | workwear | denim | streetwear,"Natural, cercano y orientado a streetwear en España","Si buscas pantalones baggy largos, ahora mismo tienes varias opciones buenas en España: desde básicos más asequibles en Zara, Pull&Bear o Mango, hasta opciones más auténticas de streetwear/workwear como Carhartt WIP y Dickies. Si quieres algo más premium, Levi's, Stüssy o Daily Paper también encajan muy bien. Para comprarlos, lo más cómodo suele ser mirar tiendas oficiales y ecommerces como Zalando, ASOS, SVD o Foot District. Si quieres, te puedo hacer una selección concreta según presupuesto, color o estilo.",
P002,4,"Busco unos pantalones baggy largos para comprarme, que opciones hay?",2026-05-15 09:12,Carhartt WIP | Dickies | Levi's | Nike ACG | Zara | Bershka | Mason's | Stüssy,Carhartt WIP:principal | Dickies:principal | Levi's:principal | Nike ACG:secundaria | Zara:secundaria | Bershka:secundaria | Mason's:secundaria | Stüssy:secundaria,Tiendas oficiales de las marcas y retailers que operan en España | Catálogos de streetwear y moda urbana disponibles para envío en España,tienda oficial / retail | catálogo ecommerce,Carhartt WIP Store | Dickies España | Levi's España | Nike España | Zara | Bershka | END. Clothing | Sivasdescalzo (SVD),tienda oficial | tienda oficial | tienda oficial | tienda oficial | retail moda | retail moda | retailer multimarca con envío a España | retailer sneaker/streetwear en España,baggy | pantalones largos | streetwear | pierna ancha | fit holgado | corte wide | cargo baggy | denim baggy | workwear,"Natural, útil y orientado al streetwear en España","Si buscas pantalones baggy largos, las opciones más seguras en España son Carhartt WIP y Dickies para un look workwear/streetwear, Levi's para denim baggy más clásico y Nike ACG si quieres algo técnico. En retail más accesible, Zara y Bershka suelen tener fits amplios y largos. Si quieres algo más premium o de marca streetwear, Stüssy y algunos retailers como SVD o END. suelen tener opciones. Si quieres, te puedo hacer una selección por estilo, presupuesto y color.",
P002,5,"Busco unos pantalones baggy largos para comprarme, que opciones hay?",2026-05-15 09:12,Carhartt WIP | Dickies | Levi's | Zara | Pull&Bear | SikSilk | ASOS,Carhartt WIP:recomendada | Dickies:recomendada | Levi's:recomendada | Zara:opcion_accesible | Pull&Bear:opcion_accesible | SikSilk:opcion_estilo_urbano | ASOS:marketplace,Tiendas oficiales de las marcas en España | Zalando España | ASOS España,tienda oficial | ecommerce multimarca | ecommerce multimarca,Zalando | ASOS | Zara | Pull&Bear,multimarca | multimarca | marca propia | marca propia,pantalones baggy largos | fit amplio | pierna ancha | streetwear | denim | talle alto | cargo | sarga | oversize,"Natural, útil y orientado al mercado español, con enfoque streetwear y opciones accesibles/premium.","Si buscas pantalones baggy largos en España, te encajan muy bien opciones como Carhartt WIP y Dickies si quieres un look más workwear/street, Levi's si prefieres denim amplio, y Zara o Pull&Bear si buscas algo más económico y fácil de encontrar. También puedes mirar ASOS y Zalando para ver más variedad de cortes, colores y tallas. Si quieres, te puedo hacer una selección según presupuesto, color y si los quieres vaqueros, cargo o de sarga.",
